Time,Pitch,Roll
4409,1.58546,-0.0906125
4418,1.6034,-0.114015
4426,1.64713,-0.133558
4435,1.70027,-0.132398
4444,1.78182,-0.125949
4452,1.87838,-0.133145
4461,1.98383,-0.139906
4470,2.07472,-0.130797
4478,2.17247,-0.13499
4487,2.23355,-0.121462
4495,2.29537,-0.116187
4504,2.34671,-0.122519
4512,2.39647,-0.105918
4521,2.43659,-0.1036
4530,2.48388,-0.101873
4539,2.52616,-0.11352
4547,2.5721,-0.108864
4555,2.62844,-0.0882456
4564,2.64692,-0.09662
4572,2.66446,-0.0907264
4581,2.66298,-0.0926494
4590,2.66488,-0.0913866
4598,2.67455,-0.0887977
4607,2.67639,-0.0968006
4615,2.66995,-0.0950407
4623,2.65588,-0.0944128
4632,2.64203,-0.0914697
4641,2.63504,-0.0728248
4649,2.63016,-0.0669946
4658,2.61448,-0.0511461
4666,2.61518,-0.0457474
4675,2.62202,-0.0439857
4683,2.65199,-0.0569588
4691,2.68135,-0.060159
4700,2.69476,-0.0629735
4708,2.704,-0.0505327
4717,2.70213,-0.0474146
4726,2.71385,-0.04193
4736,2.72031,-0.0563533
4744,2.72889,-0.0445885
4753,2.75623,-0.0333442
4762,2.77766,-0.0261138
4770,2.78602,-0.0145645
4779,2.77344,-0.0242821
4787,2.77096,-0.0136211
4796,2.76573,-0.0249322
4804,2.77509,-0.0296451
4813,2.78193,-0.0399592
4822,2.80119,-0.0300111
4830,2.82334,-0.0194405
4838,2.84531,-0.0317573
4847,2.8493,-0.0241307
4855,2.86598,-0.012012
4864,2.8806,-0.0241146
4872,2.89322,-0.0182358
4881,2.92525,-0.0143256
4890,2.95858,-0.00587867
4898,3.00094,0.000991723
4907,3.04465,-0.00408339
4915,3.10341,-0.00682746
4924,3.20079,-0.0117259
4933,3.36714,-0.0407946
4942,3.50038,-0.0805437
4950,3.64371,-0.130412
4959,3.8372,-0.13639
4967,4.02355,-0.156018
4976,4.23309,-0.144773
4984,4.43733,-0.158186
4993,4.63472,-0.185859
5002,4.84725,-0.20756
5010,5.06052,-0.240865
5019,5.22137,-0.245067
5027,5.41125,-0.223556
5035,5.56588,-0.203621
5044,5.70188,-0.194793
5052,5.84993,-0.206754
5061,5.97866,-0.211912
5070,6.08552,-0.199394
5078,6.17903,-0.18473
5087,6.26612,-0.176633
5095,6.36662,-0.188137
5103,6.4457,-0.18742
5112,6.5276,-0.172615
5120,6.59248,-0.164796
5129,6.65484,-0.150093
5138,6.719,-0.154036
5147,6.7559,-0.147911
5155,6.80161,-0.15041
5164,6.82465,-0.154783
5172,6.85616,-0.153471
5182,6.92342,-0.147593
5193,6.97896,-0.144361
5202,7.0303,-0.133174
5211,7.06096,-0.132856
5219,7.07194,-0.128064
5228,7.15214,-0.13494
5236,7.2075,-0.12395
5245,7.27158,-0.156751
5254,7.32941,-0.160757
5262,7.39697,-0.154891
5271,7.45125,-0.149991
5280,7.50563,-0.148843
5289,7.5501,-0.1507
5297,7.5681,-0.155307
5306,7.60872,-0.145112
5315,7.63262,-0.114267
5323,7.714,-0.114645
5334,7.86236,-0.127652
5342,8.01346,-0.166995
5351,8.11514,-0.225359
5360,8.25753,-0.274723
5369,8.39676,-0.297119
5377,8.52524,-0.291165
5386,8.615,-0.274557
5394,8.69751,-0.281663
5403,8.81239,-0.293196
5412,8.9241,-0.301194
5420,9.08025,-0.300227
5429,9.21313,-0.278471
5441,9.41793,-0.31676
5450,9.5448,-0.32925
5459,9.68428,-0.330324
5467,9.81757,-0.336574
5476,9.95933,-0.344227
5485,10.1216,-0.33893
5493,10.2403,-0.337783
5502,10.3675,-0.336319
5515,10.5247,-0.323036
5523,10.6402,-0.340841
5532,10.7583,-0.329003
5541,10.8691,-0.304684
5549,10.9677,-0.308386
5558,11.0813,-0.307621
5566,11.2073,-0.300391
5575,11.2981,-0.287281
5584,11.4238,-0.273274
5593,11.5399,-0.269557
5601,11.658,-0.264672
5610,11.7376,-0.267372
5618,11.824,-0.251871
5627,11.9088,-0.248615
5635,11.9874,-0.238768
5644,12.0852,-0.257947
5653,12.2535,-0.278687
5662,12.4075,-0.300052
5671,12.5553,-0.335202
5679,12.7391,-0.382048
5688,12.8966,-0.416929
5697,13.0386,-0.438755
5706,13.1429,-0.460489
5714,13.2693,-0.481563
5723,13.385,-0.490601
5732,13.4862,-0.488237
5741,13.6377,-0.489426
5749,13.7221,-0.487499
5758,13.8502,-0.518042
5766,13.9749,-0.514379
5775,14.0792,-0.493961
5784,14.1915,-0.4802
5792,14.2804,-0.480283
5801,14.3713,-0.476646
5810,14.4719,-0.466922
5818,14.5595,-0.458128
5831,14.6766,-0.448568
5839,14.7472,-0.442367
5848,14.8503,-0.443771
5857,14.9639,-0.445015
5866,15.0448,-0.440004
5874,15.1232,-0.424242
5883,15.1518,-0.430219
5892,15.1986,-0.423714
5901,15.2467,-0.40407
5910,15.33,-0.382215
5918,15.3915,-0.380194
5927,15.4691,-0.389678
5938,15.5708,-0.387478
5947,15.6038,-0.395263
5956,15.6477,-0.375789
5964,15.7012,-0.371975
5973,15.7683,-0.354821
5981,15.8225,-0.354119
5993,15.9051,-0.366753
6001,15.9891,-0.358365
6010,16.0678,-0.356345
6019,16.1077,-0.34724
6027,16.1766,-0.337675
6036,16.2464,-0.331316
6045,16.3055,-0.327482
6054,16.3685,-0.355844
6065,16.5548,-0.40661
6073,16.6692,-0.43983
6081,16.8052,-0.48742
6089,16.962,-0.531712
6097,17.1255,-0.553076
6104,17.2485,-0.557551
6112,17.3527,-0.572724
6120,17.4666,-0.584574
6127,17.5826,-0.594064
6136,17.7367,-0.61573
6144,17.8614,-0.627693
6151,17.9828,-0.627219
6159,18.1014,-0.632964
6166,18.2499,-0.612984
6174,18.3751,-0.614508
6183,18.522,-0.612923
6195,18.7119,-0.590196
6204,18.842,-0.579388
6212,18.9831,-0.568307
6220,19.1245,-0.569445
6229,19.2661,-0.56702
6237,19.4019,-0.565515
6246,19.5292,-0.556995
6254,19.6506,-0.543568
6263,19.7711,-0.531859
6271,19.8988,-0.51392
6280,19.9976,-0.518534
6288,20.1132,-0.52799
6297,20.2363,-0.50764
6305,20.3426,-0.500719
6314,20.4238,-0.501536
6322,20.5273,-0.499846
6331,20.6343,-0.494876
6340,20.7335,-0.492906
6348,20.8232,-0.488715
6356,20.9386,-0.498768
6365,21.0968,-0.528134
6374,21.2303,-0.574948
6382,21.3546,-0.616908
6391,21.498,-0.639119
6399,21.6103,-0.644047
6408,21.7355,-0.641184
6416,21.8744,-0.650029
6425,22.0128,-0.674463
6433,22.1858,-0.703728
6442,22.3032,-0.695903
6450,22.4305,-0.701976
6459,22.5513,-0.697226
6467,22.6994,-0.670933
6476,22.8678,-0.683421
6484,23.0207,-0.655597
6493,23.1878,-0.635643
6501,23.3499,-0.637605
6510,23.5097,-0.622849
6518,23.6708,-0.619093
6527,23.8363,-0.606112
6537,24.0148,-0.597763
6545,24.1598,-0.592533
6553,24.2935,-0.572883
6562,24.3977,-0.558424
6572,24.5145,-0.554112
6579,24.6153,-0.550369
6587,24.7023,-0.567039
6595,24.8004,-0.559885
6602,24.8926,-0.550282
6610,24.9647,-0.540318
6617,25.027,-0.517371
6624,25.0681,-0.504406
6632,25.119,-0.523291
6640,25.1982,-0.532688
6647,25.3051,-0.570653
6655,25.3869,-0.594935
6662,25.4641,-0.669012
6670,25.5563,-0.73055
6677,25.6574,-0.737857
6685,25.7204,-0.739918
6692,25.7649,-0.734195
6700,25.795,-0.727591
6707,25.8624,-0.729546
6715,25.9161,-0.717797
6723,25.9758,-0.711883
6730,26.0375,-0.707383
6738,26.0944,-0.710874
6745,26.1589,-0.710505
6753,26.2538,-0.734116
6760,26.3316,-0.744195
6768,26.4559,-0.741991
6776,26.5558,-0.744912
6783,26.6652,-0.727099
6791,26.7796,-0.707623
6798,26.871,-0.703035
6806,26.9396,-0.709902
6813,27.0391,-0.699508
6821,27.1382,-0.686928
6828,27.2325,-0.673176
6836,27.3145,-0.672737
6843,27.3999,-0.66044
6851,27.486,-0.653406
6859,27.573,-0.647161
6866,27.6577,-0.633066
6874,27.7422,-0.636022
6881,27.833,-0.643456
6889,27.9069,-0.644201
6897,27.9827,-0.63662
6905,28.0617,-0.63045
6914,28.1399,-0.621641
6922,28.2112,-0.62084
6931,28.2889,-0.603284
6939,28.3705,-0.589028
6948,28.4476,-0.578614
6956,28.5114,-0.56961
6965,28.5644,-0.574574
6972,28.5975,-0.564566
6980,28.6214,-0.544527
6987,28.6471,-0.540269
6996,28.6883,-0.531848
7005,28.7723,-0.51826
7014,28.811,-0.506071
7022,28.8437,-0.495308
7031,28.8694,-0.503691
7040,28.9118,-0.481464
7048,28.9636,-0.466424
7057,29.0164,-0.447483
7065,29.0622,-0.442343
7074,29.1365,-0.43936
7083,29.1758,-0.436409
7091,29.2228,-0.421597
7100,29.2752,-0.404336
7109,29.3063,-0.404584
7118,29.3537,-0.412742
7126,29.4159,-0.404492
7135,29.4985,-0.388002
7144,29.5837,-0.371345
7153,29.6728,-0.393391
7161,29.7879,-0.428565
7170,29.9322,-0.457356
7178,30.0383,-0.52078
7188,30.155,-0.58259
7196,30.2149,-0.626449
7204,30.3333,-0.635451
7213,30.4367,-0.660856
7222,30.5573,-0.704112
7230,30.7043,-0.746575
7239,30.8486,-0.78285
7248,30.9844,-0.789534
7256,31.1123,-0.760208
7265,31.2126,-0.754551
7274,31.305,-0.754432
7282,31.4288,-0.753811
7291,31.5486,-0.738417
7300,31.6785,-0.730576
7308,31.8222,-0.72199
7317,31.9652,-0.704366
7326,32.101,-0.686201
7334,32.1894,-0.666252
7344,32.3177,-0.639878
7352,32.4391,-0.635575
7361,32.5648,-0.629395
7370,32.6997,-0.610972
7378,32.7958,-0.608178
7387,32.9031,-0.602745
7396,33.0177,-0.586148
7404,33.1415,-0.578519
7413,33.2312,-0.578126
7422,33.3308,-0.570409
7430,33.4311,-0.553505
7439,33.5371,-0.548674
7448,33.6336,-0.542635
7457,33.7519,-0.524339
7466,33.8464,-0.510331
7474,33.9289,-0.530605
7483,34.0033,-0.56774
7492,34.1115,-0.622965
7501,34.2201,-0.669912
7509,34.2437,-0.711664
7518,34.3856,-0.734661
7526,34.4924,-0.75833
7535,34.6088,-0.778114
