Time,Pitch,Error,dError,IntError,ControlSignal
15390,-1.45555,0.369064,-1.97385,-0.186659,3.69064
15395,-1.45338,0.371236,0.416481,-0.184723,3.71236
15400,-1.45063,0.373979,0.52728,-0.182778,3.73979
15405,-1.45498,0.369631,-0.862268,-0.180914,3.69631
15410,-1.44649,0.378118,1.80062,-0.179132,3.78118
15415,-1.45228,0.372329,-1.09218,-0.177158,3.72329
15420,-1.44779,0.376825,0.852819,-0.175171,3.76825
15429,-1.45021,0.374407,-0.292652,-0.172078,3.74407
15433,-1.45746,0.367149,-1.74139,-0.170548,3.67149
15437,-1.45966,0.364951,-0.53485,-0.169048,3.64951
15441,-1.46313,0.361485,-0.833743,-0.167545,3.61485
15445,-1.45633,0.368287,1.70513,-0.166076,3.68287
15449,-1.46002,0.364591,-0.919065,-0.16461,3.64591
15453,-1.46528,0.359328,-1.26844,-0.163119,3.59328
15457,-1.46975,0.354864,-1.08485,-0.161659,3.54864
15462,-1.48242,0.342191,-3.00986,-0.160218,3.42191
15466,-1.48107,0.343548,0.278174,-0.158541,3.43548
15471,-1.47601,0.348602,1.09682,-0.156935,3.48602
15476,-1.48749,0.337122,-2.22794,-0.155198,3.37122
15481,-1.47434,0.35027,2.52701,-0.153376,3.5027
15487,-1.47689,0.347721,-0.438387,-0.151354,3.47721
15492,-1.47105,0.353562,1.1117,-0.149496,3.53562
15497,-1.46715,0.357459,0.769167,-0.147685,3.57459
15503,-1.46304,0.361575,0.775428,-0.145766,3.61575
15508,-1.46652,0.358091,-0.643295,-0.143826,3.58091
15513,-1.43937,0.385247,5.19655,-0.141813,3.85247
15519,-1.43427,0.390339,0.952493,-0.139727,3.90339
15524,-1.4342,0.390409,0.0137203,-0.137739,3.90409
15529,-1.43576,0.388856,-0.327167,-0.135894,3.88856
15533,-1.42207,0.402539,3.01812,-0.134069,4.02539
15538,-1.41546,0.409155,1.47636,-0.132236,4.09155
15543,-1.41012,0.414496,1.03674,-0.1301,4.14496
15548,-1.41869,0.405928,-1.66171,-0.128007,4.05928
15553,-1.41046,0.414156,1.6321,-0.125919,4.14156
15558,-1.41762,0.406994,-1.51594,-0.123996,4.06994
15563,-1.4129,0.411715,0.908766,-0.121857,4.11715
15568,-1.41146,0.413154,0.278582,-0.119724,4.13154
15574,-1.40002,0.424588,2.09521,-0.117407,4.24588
15583,-1.38968,0.434928,1.06297,-0.113176,4.34928
15588,-1.39779,0.42682,-1.90586,-0.11136,4.2682
15592,-1.38494,0.439675,3.15909,-0.109571,4.39675
15596,-1.38477,0.439846,0.0384687,-0.107619,4.39846
15601,-1.38349,0.441125,0.241134,-0.105279,4.41125
15606,-1.40169,0.422924,-3.57603,-0.103126,4.22924
15611,-1.40395,0.420662,-0.467248,-0.10109,4.20662
15617,-1.39421,0.430403,1.84203,-0.0988141,4.30403
15621,-1.38925,0.435368,1.00268,-0.0966585,4.35368
15627,-1.391,0.433609,-0.317562,-0.0942576,4.33609
15632,-1.38896,0.435657,0.397859,-0.0920158,4.35657
15637,-1.38093,0.443683,1.53793,-0.0897003,4.43683
15643,-1.38243,0.442178,-0.27921,-0.0873172,4.42178
15648,-1.38299,0.441628,-0.107811,-0.0850636,4.41628
15653,-1.39157,0.433041,-1.73333,-0.0829183,4.33041
15657,-1.39521,0.429402,-0.808923,-0.0809867,4.29402
15662,-1.37645,0.448164,3.73609,-0.0787361,4.48164
15674,-1.36714,0.457477,0.771719,-0.0732156,4.57477
15679,-1.35861,0.466005,1.99899,-0.0712274,4.66005
15683,-1.35093,0.473684,1.76956,-0.0691721,4.73684
15687,-1.34444,0.480173,1.48816,-0.0670783,4.80173
15692,-1.34118,0.483431,0.654371,-0.0646712,4.83431
15697,-1.34943,0.475185,-1.61109,-0.0622391,4.75185
15703,-1.354,0.470616,-0.861685,-0.0597439,4.70616
15708,-1.35944,0.465169,-1.04833,-0.0573267,4.65169
15713,-1.36991,0.454702,-1.97711,-0.0549196,4.54702
15718,-1.36787,0.456748,0.401025,-0.0525897,4.56748
15723,-1.3445,0.480111,5.07405,-0.050379,4.80111
15732,-1.34661,0.478001,-0.247303,-0.0463004,4.78001
15736,-1.33527,0.489342,2.45459,-0.0440397,4.89342
15740,-1.33533,0.489282,-0.014162,-0.041968,4.89282
15744,-1.3388,0.485818,-0.842567,-0.0399708,4.85818
15749,-1.31836,0.50625,4.98886,-0.0378975,5.0625
15753,-1.32468,0.499932,-1.54421,-0.0358523,4.99932
15757,-1.32205,0.502559,0.636229,-0.0337778,5.02559
15761,-1.32138,0.503238,0.164546,-0.0317004,5.03238
15765,-1.32793,0.496684,-1.57992,-0.0296399,4.96684
